Pid,trialName,Qid,Answer
author1,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q5,
author1,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q2,4
author1,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q1,4
author1,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q4,Yes
author1,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q3,Yes
author1,scatterplot-describe_trend_or_correlation-health,q1,4
author1,scatterplot-describe_trend_or_correlation-health,q3,Yes
author1,scatterplot-describe_trend_or_correlation-health,q4,Yes
author1,scatterplot-describe_trend_or_correlation-health,q5,
author1,scatterplot-describe_trend_or_correlation-health,q2,4
author1,stacked_area_chart-describe_the_topic_of_the_visualization-health,q4,Yes
author1,stacked_area_chart-describe_the_topic_of_the_visualization-health,q5,
author1,stacked_area_chart-describe_the_topic_of_the_visualization-health,q3,Yes
author1,stacked_area_chart-describe_the_topic_of_the_visualization-health,q2,4
author1,stacked_area_chart-describe_the_topic_of_the_visualization-health,q1,4
author1,100_percent_stacked_bar_chart-describe_trend_or_correlation-health,q3,Yes
author1,100_percent_stacked_bar_chart-describe_trend_or_correlation-health,q1,2
author1,100_percent_stacked_bar_chart-describe_trend_or_correlation-health,q5,
author1,100_percent_stacked_bar_chart-describe_trend_or_correlation-health,q4,Yes
author1,100_percent_stacked_bar_chart-describe_trend_or_correlation-health,q2,3
author1,histogram-retrieve_value-health,q5,
author1,histogram-retrieve_value-health,q1,3
author1,histogram-retrieve_value-health,q3,Yes
author1,histogram-retrieve_value-health,q4,Yes
author1,histogram-retrieve_value-health,q2,4
author1,stacked_bar_chart-identify_range-health,q5,a bit hard to estimate
author1,stacked_bar_chart-identify_range-health,q4,Yes
author1,stacked_bar_chart-identify_range-health,q1,3
author1,stacked_bar_chart-identify_range-health,q3,Yes
author1,stacked_bar_chart-identify_range-health,q2,4
author1,histogram-identify_range-health,q2,4
author1,histogram-identify_range-health,q3,Yes
author1,histogram-identify_range-health,q5,
author1,histogram-identify_range-health,q4,Yes
author1,histogram-identify_range-health,q1,4
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q1,3
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q4,Yes
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q5,this one is ok but in general aggregation make things hard or impossible unless options are easy
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q3,Yes
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,q2,4
author1,pie_chart-locate_value-health,q2,4
author1,pie_chart-locate_value-health,q5,
author1,pie_chart-locate_value-health,q4,Yes
author1,pie_chart-locate_value-health,q1,4
author1,pie_chart-locate_value-health,q3,Yes
author1,bubble_chart-identify_range-health,q5,
author1,bubble_chart-identify_range-health,q3,Yes
author1,bubble_chart-identify_range-health,q1,4
author1,bubble_chart-identify_range-health,q2,4
author1,bubble_chart-identify_range-health,q4,Yes
author1,line_chart-describe_the_topic_of_the_visualization-health,q4,Yes
author1,line_chart-describe_the_topic_of_the_visualization-health,q3,Yes
author1,line_chart-describe_the_topic_of_the_visualization-health,q5,
author1,line_chart-describe_the_topic_of_the_visualization-health,q1,4
author1,line_chart-describe_the_topic_of_the_visualization-health,q2,4
author1,pie_chart-describe_trend_or_correlation-health,q5,
author1,pie_chart-describe_trend_or_correlation-health,q4,Yes
author1,pie_chart-describe_trend_or_correlation-health,q2,4
author1,pie_chart-describe_trend_or_correlation-health,q1,2
author1,pie_chart-describe_trend_or_correlation-health,q3,Yes
author1,line_chart-identify_labels_of_scales-health,q5,
author1,line_chart-identify_labels_of_scales-health,q3,Yes
author1,line_chart-identify_labels_of_scales-health,q4,Yes
author1,line_chart-identify_labels_of_scales-health,q1,4
author1,line_chart-identify_labels_of_scales-health,q2,4
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,q5,very hard especially bottom not aligned
author1,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health,q2,4
