"region"	"value"
"alabama"	3769749
"alaska"	3282436
"arizona"	8205240
"arkansas"	6391674
"california"	5191993
"colorado"	902857
"connecticut"	9472029
"delaware"	5577584
"florida"	3266694
"georgia"	8117355
"hawaii"	9833279
"idaho"	902312
"illinois"	1998010
"indiana"	9289812
"iowa"	2687228
"kansas"	4962663
"kentucky"	5433182
"louisiana"	9704433
"maine"	6844696
"maryland"	6427064
"massachusetts"	2966068
"michigan"	4406782
"minnesota"	1490323
"mississippi"	6638629
"missouri"	6099061
"montana"	3048894
"nebraska"	8210513
"nevada"	708908
"new hampshire"	4962581
"new jersey"	8791058
"new mexico"	1938808
"new york"	2112758
"north carolina"	2737863
"north dakota"	7794237
"ohio"	9671614
"oklahoma"	8373645
"oregon"	8435822
"pennsylvania"	6050244
"rhode island"	9405778
"south carolina"	5332433
"south dakota"	7424523
"tennessee"	6908521
"texas"	3978434
"utah"	5627959
"vermont"	7865590
"virginia"	7461030
"washington"	7143693
"west virginia"	9296314
"wisconsin"	5034031
"wyoming"	2056255
"district of columbia"	1851222
