"Year"	"Education_Level"	"Enrollment"
2000	"Elementary"	278
2001	"Elementary"	113
2002	"Elementary"	294
2003	"Elementary"	405
2004	"Elementary"	217
2005	"Elementary"	398
2006	"Elementary"	328
2007	"Elementary"	343
2008	"Elementary"	113
2009	"Elementary"	473
2010	"Elementary"	252
2011	"Elementary"	189
2012	"Elementary"	190
2013	"Elementary"	355
2014	"Elementary"	296
2015	"Elementary"	190
2016	"Elementary"	447
2017	"Elementary"	236
2018	"Elementary"	454
2019	"Elementary"	427
2000	"Middle_School"	125
2001	"Middle_School"	106
2002	"Middle_School"	236
2003	"Middle_School"	353
2004	"Middle_School"	310
2005	"Middle_School"	177
2006	"Middle_School"	180
2007	"Middle_School"	142
2008	"Middle_School"	458
2009	"Middle_School"	472
2010	"Middle_School"	431
2011	"Middle_School"	242
2012	"Middle_School"	131
2013	"Middle_School"	208
2014	"Middle_School"	362
2015	"Middle_School"	492
2016	"Middle_School"	429
2017	"Middle_School"	122
2018	"Middle_School"	408
2019	"Middle_School"	234
2000	"High_School"	408
2001	"High_School"	323
2002	"High_School"	265
2003	"High_School"	316
2004	"High_School"	389
2005	"High_School"	168
2006	"High_School"	171
2007	"High_School"	175
2008	"High_School"	162
2009	"High_School"	240
2010	"High_School"	309
2011	"High_School"	452
2012	"High_School"	446
2013	"High_School"	252
2014	"High_School"	393
2015	"High_School"	376
2016	"High_School"	140
2017	"High_School"	189
2018	"High_School"	415
2019	"High_School"	322
2000	"College"	115
2001	"College"	215
2002	"College"	193
2003	"College"	361
2004	"College"	334
2005	"College"	185
2006	"College"	441
2007	"College"	138
2008	"College"	258
2009	"College"	339
2010	"College"	308
2011	"College"	473
2012	"College"	405
2013	"College"	133
2014	"College"	103
2015	"College"	112
2016	"College"	168
2017	"College"	482
2018	"College"	342
2019	"College"	407
