order_id,context,chart_type,task,q1_pre,q2_pre,q3_pre,q4_pre,comment,q1_post,q2_post,q3_post,q4_post,q1_oor,q2_oor,name
1,health,line,make comparisons,4,4,Y,Y,,,,,,,,line_chart-make_comparisons-health
2,health,line,identify range,4,4,Y,Y,,4,4,Y,Y,,,line_chart-identify_range-health
3,health,line,retrieve value,4,4,Y,Y,,,,,,,,line_chart-retrieve_value-health
4,health,line,locate value,4,4,Y,Y,,,,,,,,line_chart-locate_value-health
5,health,line,identify labels of scales,4,4,Y,Y,,,,,,,,line_chart-identify_labels_of_scales-health
6,health,line,describe the topic of the visualization,4,4,Y,Y,,,,,,,,line_chart-describe_the_topic_of_the_visualization-health
7,health,line,estimate difference,4,4,Y,Y,,4,4,Y,Y,,,line_chart-estimate_the_difference_between_two_values_of_the_same_type-health
8,health,line,estimate ratio,3,4,Y,Y,,,,,,,,line_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
9,health,line,estimate average,3,4,Y,Y,,3,4,Y,Y,,,line_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
10,health,line,describe trend or correlation,4,4,Y,Y,,,,,,,,line_chart-describe_trend_or_correlation-health
11,health,line,describe the characteristics of an alternative chart type,3,3,Y,Y,,,,,,,,line_chart-describe_the_characteristics_of_an_alternative_chart_type-health
12,health,line,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,line_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
13,health,line,judge which task this visualization design best supports,4,4,Y,Y,,,,,,y,y,line_chart-judge_which_task_this_visualization_design_best_supports-health
14,health,bar,make comparisons,4,4,Y,Y,,,,,,,,bar_chart-make_comparisons-health
15,health,bar,identify range,4,4,Y,Y,,,,,,,,bar_chart-identify_range-health
16,health,bar,retrieve value,4,4,Y,Y,,,,,,,,bar_chart-retrieve_value-health
17,health,bar,locate value,4,4,Y,Y,,,,,,,,bar_chart-locate_value-health
18,health,bar,identify labels of scales,4,4,Y,Y,,,,,,,,bar_chart-identify_labels_of_scales-health
19,health,bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,bar_chart-describe_the_topic_of_the_visualization-health
20,health,bar,estimate difference,4,4,Y,Y,,,,,,,,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-health
21,health,bar,estimate ratio,4,4,Y,Y,,4,4,Y,Y,,,bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
22,health,bar,estimate average,3,4,Y,Y,wrong calculation,3,4,N,N,,,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
23,health,bar,describe trend or correlation,2,4,Y,Y,,,,,,,,bar_chart-describe_trend_or_correlation-health
24,health,bar,describe the characteristics of an alternative chart type,3,4,Y,Y,,,,,,,,bar_chart-describe_the_characteristics_of_an_alternative_chart_type-health
25,health,bar,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
26,health,bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,bar_chart-judge_which_task_this_visualization_design_best_supports-health
27,health,stacked bar,make comparisons,3,4,Y,M,two correct answers,,,,,,,stacked_bar_chart-make_comparisons-health
28,health,stacked bar,identify range,3,3,Y,Y,,,,,,,,stacked_bar_chart-identify_range-health
29,health,stacked bar,retrieve value,4,4,Y,Y,,,,,,,,stacked_bar_chart-retrieve_value-health
30,health,stacked bar,locate value,4,4,Y,Y,,,,,,,,stacked_bar_chart-locate_value-health
31,health,stacked bar,identify labels of scales,4,4,N,N,chart rotated so horizontal is vertical,,,,,,,stacked_bar_chart-identify_labels_of_scales-health
32,health,stacked bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,stacked_bar_chart-describe_the_topic_of_the_visualization-health
33,health,stacked bar,estimate difference,3,4,N,N,,3,4,Y,Y,,,stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-health
34,health,stacked bar,estimate ratio,4,4,Y,Y,,,,,,,,stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
35,health,stacked bar,estimate average,4,4,Y,Y,,,,,,,,stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
36,health,stacked bar,describe trend or correlation,3,4,Y,Y,,,,,,,,stacked_bar_chart-describe_trend_or_correlation-health
37,health,stacked bar,describe the characteristics of an alternative chart type,3,3,Y,Y,,,,,,,,stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-health
38,health,stacked bar,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
39,health,stacked bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-health
40,health,100 percent bar,make comparisons,4,4,Y,Y,,,,,,y,y,100_percent_stacked_bar_chart-make_comparisons-health
41,health,100 percent bar,identify range,3,4,Y,Y,,3,4,Y,Y,,,100_percent_stacked_bar_chart-identify_range-health
42,health,100 percent bar,retrieve value,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-retrieve_value-health
43,health,100 percent bar,locate value,4,3,Y,Y,,,,,,,,100_percent_stacked_bar_chart-locate_value-health
44,health,100 percent bar,identify labels of scales,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-identify_labels_of_scales-health
45,health,100 percent bar,describe the topic of the visualization,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization-health
46,health,100 percent bar,estimate difference,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-health
47,health,100 percent bar,estimate ratio,3,3,Y,Y,,,,,,,,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
48,health,100 percent bar,estimate average,4,4,N,N,,4,4,Y,Y,,,100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
49,health,100 percent bar,describe trend or correlation,3,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_trend_or_correlation-health
50,health,100 percent bar,describe the characteristics of an alternative chart type,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type-health
51,health,100 percent bar,judge which design is more appropriate for a task,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
52,health,100 percent bar,judge which task this visualization design best supports,4,4,Y,Y,,,,,,,,100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports-health
53,health,area,make comparisons,4,3,Y,Y,ambiguity - cumulative,,,,,,y,area_chart-make_comparisons-health
54,health,area,identify range,4,3,Y,Y,ambiguity - cumulative,4,3,Y,Y,,,area_chart-identify_range-health
55,health,area,retrieve value,4,3,Y,Y,ambiguity - cumulative,4,3,Y,Y,,y,area_chart-retrieve_value-health
56,health,area,locate value,4,3,Y,Y,ambiguity - cumulative,4,3,Y,Y,,,area_chart-locate_value-health
57,health,area,identify labels of scales,4,4,Y,Y,ambiguity - cumulative,,,,,,,area_chart-identify_labels_of_scales-health
58,health,area,describe the topic of the visualization,4,2,Y,Y,ambiguity - cumulative,,,,,,,area_chart-describe_the_topic_of_the_visualization-health
59,health,area,estimate difference,4,2,Y,Y,ambiguity - cumulative,,,,,,y,area_chart-estimate_the_difference_between_two_values_of_the_same_type-health
60,health,area,estimate ratio,4,2,Y,Y,ambiguity - cumulative,4,2,Y,Y,,y,area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
61,health,area,estimate average,3,3,Y,Y,ambiguity - cumulative,3,3,Y,Y,,,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
62,health,area,describe trend or correlation,4,3,Y,Y,ambiguity - cumulative,,,,,,y,area_chart-describe_trend_or_correlation-health
63,health,area,describe the characteristics of an alternative chart type,3,3,Y,Y,ambiguity - cumulative,,,,,,y,area_chart-describe_the_characteristics_of_an_alternative_chart_type-health
64,health,area,judge which design is more appropriate for a task,4,3,Y,Y,ambiguity - cumulative,,,,,,,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-health
65,health,area,judge which task this visualization design best supports,4,3,Y,Y,ambiguity - cumulative,,,,,,,area_chart-judge_which_task_this_visualization_design_best_supports-health
66,health,stacked area,make comparisons,3,4,Y,Y,,,,,,,,stacked_area_chart-make_comparisons-health
67,health,stacked area,identify range,3,3,Y,M,hard to estimate,,,,,,,stacked_area_chart-identify_range-health
68,health,stacked area,retrieve value,4,4,Y,Y,,,,,,,,stacked_area_chart-retrieve_value-health
69,health,stacked area,locate value,3,4,N,N,,3,4,Y,Y,,,stacked_area_chart-locate_value-health
70,health,stacked area,identify labels of scales,4,4,Y,Y,,,,,,,,stacked_area_chart-identify_labels_of_scales-health
71,health,stacked area,describe the topic of the visualization,4,4,Y,Y,,,,,,,,stacked_area_chart-describe_the_topic_of_the_visualization-health
72,health,stacked area,estimate difference,4,4,Y,Y,hard to estimate,,,,,,,stacked_area_chart-estimate_the_difference_between_two_values_of_the_same_type-health
73,health,stacked area,estimate ratio,4,4,Y,Y,,,,,,y,y,stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health
74,health,stacked area,estimate average,4,4,Y,M,hard to estimate,,,,,,,stacked_area_chart-estimate_the_average_of_multiple_values_of_the_same_type-health
75,health,stacked area,describe trend or correlation,4,4,Y,Y,,,,,,,,stacked_area_chart-describe_trend_or_correlation-health
