"trialName","q1_floor","q1_ceiling","q2_floor","q2_ceiling"
"100_percent_stacked_bar_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,3,4
"100_percent_stacked_bar_chart-describe_the_topic_of_the_visualization",4,4,3,4
"100_percent_stacked_bar_chart-describe_trend_or_correlation",3,3,3,4
"100_percent_stacked_bar_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,3,3,4
"100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",2,3,3,3
"100_percent_stacked_bar_chart-identify_labels_of_scales",3,4,3,4
"100_percent_stacked_bar_chart-identify_range",2,3,3,4
"100_percent_stacked_bar_chart-judge_which_task_this_visualization_design_best_supports",3,4,4,4
"100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"100_percent_stacked_bar_chart-locate_value",3,4,3,3
"100_percent_stacked_bar_chart-make_comparisons",2,3,3,3
"100_percent_stacked_bar_chart-retrieve_value",3,4,4,4
"area_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,4,4
"area_chart-describe_the_topic_of_the_visualization",3,4,4,4
"area_chart-describe_trend_or_correlation",4,4,4,4
"area_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,3,3,4
"area_chart-estimate_the_difference_between_two_values_of_the_same_type",3,4,4,4
"area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",3,4,3,4
"area_chart-identify_labels_of_scales",4,4,3,4
"area_chart-identify_range",3,4,3,4
"area_chart-judge_which_task_this_visualization_design_best_supports",4,4,3,4
"area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"area_chart-locate_value",4,4,3,4
"area_chart-make_comparisons",3,4,4,4
"area_chart-retrieve_value",3,4,4,4
"bar_chart-describe_the_characteristics_of_an_alternative_chart_type",3,4,4,4
"bar_chart-describe_the_topic_of_the_visualization",4,4,4,4
"bar_chart-describe_trend_or_correlation",2,3,3,4
"bar_chart-estimate_the_average_of_multiple_values_of_the_same_type",3,3,3,4
"bar_chart-estimate_the_difference_between_two_values_of_the_same_type",3,4,3,4
"bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type",4,4,4,4
"bar_chart-identify_labels_of_scales",3,4,3,4
"bar_chart-identify_range",4,4,4,4
"bar_chart-judge_which_task_this_visualization_design_best_supports",3,4,3,4
"bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task",3,4,3,4
"bar_chart-locate_value",4,4,4,4
"bar_chart-make_comparisons",4,4,4,4
"bar_chart-retrieve_value",4,4,4,4
