"Year"	"Source"	"Value"
2000	"Solar"	464
2001	"Solar"	228
2002	"Solar"	63
2003	"Solar"	244
2004	"Solar"	475
2005	"Solar"	355
2006	"Solar"	167
2007	"Solar"	348
2008	"Solar"	278
2009	"Solar"	293
2010	"Solar"	63
2011	"Solar"	423
2012	"Solar"	202
2013	"Solar"	139
2014	"Solar"	140
2015	"Solar"	305
2016	"Solar"	246
2017	"Solar"	140
2018	"Solar"	490
2019	"Solar"	397
2000	"Wind"	186
2001	"Wind"	404
2002	"Wind"	377
2003	"Wind"	75
2004	"Wind"	56
2005	"Wind"	475
2006	"Wind"	186
2007	"Wind"	303
2008	"Wind"	260
2009	"Wind"	469
2010	"Wind"	127
2011	"Wind"	130
2012	"Wind"	92
2013	"Wind"	408
2014	"Wind"	422
2015	"Wind"	381
2016	"Wind"	192
2017	"Wind"	81
2018	"Wind"	158
2019	"Wind"	312
2000	"Hydro"	442
2001	"Hydro"	474
2002	"Hydro"	379
2003	"Hydro"	72
2004	"Hydro"	460
2005	"Hydro"	493
2006	"Hydro"	358
2007	"Hydro"	184
2008	"Hydro"	358
2009	"Hydro"	460
2010	"Hydro"	273
2011	"Hydro"	215
2012	"Hydro"	266
2013	"Hydro"	339
2014	"Hydro"	118
2015	"Hydro"	121
2016	"Hydro"	125
2017	"Hydro"	112
2018	"Hydro"	190
2019	"Hydro"	259
2000	"Nuclear"	402
2001	"Nuclear"	396
2002	"Nuclear"	202
2003	"Nuclear"	343
2004	"Nuclear"	326
2005	"Nuclear"	90
2006	"Nuclear"	480
2007	"Nuclear"	139
2008	"Nuclear"	365
2009	"Nuclear"	272
2010	"Nuclear"	65
2011	"Nuclear"	165
2012	"Nuclear"	143
2013	"Nuclear"	311
2014	"Nuclear"	284
2015	"Nuclear"	135
2016	"Nuclear"	391
2017	"Nuclear"	88
2018	"Nuclear"	208
2019	"Nuclear"	289
2000	"Fossil"	258
2001	"Fossil"	423
2002	"Fossil"	355
2003	"Fossil"	83
2004	"Fossil"	53
2005	"Fossil"	62
2006	"Fossil"	118
2007	"Fossil"	432
2008	"Fossil"	292
2009	"Fossil"	458
2010	"Fossil"	357
2011	"Fossil"	327
2012	"Fossil"	138
2013	"Fossil"	465
2014	"Fossil"	74
2015	"Fossil"	340
2016	"Fossil"	473
2017	"Fossil"	417
2018	"Fossil"	335
2019	"Fossil"	445
