"Year"	"Party"	"Votes"
2000	"Conservative"	514
2001	"Conservative"	294
2002	"Conservative"	328
2003	"Conservative"	764
2004	"Conservative"	808
2005	"Conservative"	454
2006	"Conservative"	525
2007	"Conservative"	689
2008	"Conservative"	472
2009	"Conservative"	589
2010	"Conservative"	122
2011	"Conservative"	323
2012	"Conservative"	680
2013	"Conservative"	240
2014	"Conservative"	252
2015	"Conservative"	140
2016	"Conservative"	322
2017	"Conservative"	873
2018	"Conservative"	953
2019	"Conservative"	308
2000	"Liberal"	562
2001	"Liberal"	917
2002	"Liberal"	343
2003	"Liberal"	701
2004	"Liberal"	190
2005	"Liberal"	939
2006	"Liberal"	748
2007	"Liberal"	692
2008	"Liberal"	943
2009	"Liberal"	720
2010	"Liberal"	408
2011	"Liberal"	265
2012	"Liberal"	171
2013	"Liberal"	821
2014	"Liberal"	393
2015	"Liberal"	530
2016	"Liberal"	627
2017	"Liberal"	846
2018	"Liberal"	138
2019	"Liberal"	473
2000	"Green"	278
2001	"Green"	217
2002	"Green"	113
2003	"Green"	702
2004	"Green"	447
2005	"Green"	125
2006	"Green"	865
2007	"Green"	654
2008	"Green"	242
2009	"Green"	874
2010	"Green"	234
2011	"Green"	316
2012	"Green"	687
2013	"Green"	964
2014	"Green"	376
2015	"Green"	189
2016	"Green"	215
2017	"Green"	555
2018	"Green"	258
2019	"Green"	917
2000	"Libertarian"	625
2001	"Libertarian"	398
2002	"Libertarian"	473
2003	"Libertarian"	867
2004	"Libertarian"	748
2005	"Libertarian"	618
2006	"Libertarian"	310
2007	"Libertarian"	970
2008	"Libertarian"	643
2009	"Libertarian"	941
2010	"Libertarian"	920
2011	"Libertarian"	389
2012	"Libertarian"	674
2013	"Libertarian"	958
2014	"Libertarian"	562
2015	"Libertarian"	415
2016	"Libertarian"	705
2017	"Libertarian"	697
2018	"Libertarian"	851
2019	"Libertarian"	133
