"Year"	"Age_Group"	"Population"
2000	"0-14"	29470
2001	"0-14"	79042
2002	"0-14"	41489
2003	"0-14"	88419
2004	"0-14"	94106
2005	"0-14"	5510
2006	"0-14"	53282
2007	"0-14"	89349
2008	"0-14"	55592
2009	"0-14"	46205
2010	"0-14"	95727
2011	"0-14"	45880
2012	"0-14"	68079
2013	"0-14"	57691
2014	"0-14"	11190
2015	"0-14"	90083
2016	"0-14"	25363
2017	"0-14"	5164
2018	"0-14"	33464
2019	"0-14"	95496
2000	"15-24"	89064
2001	"15-24"	69588
2002	"15-24"	64410
2003	"15-24"	99433
2004	"15-24"	65915
2005	"15-24"	71145
2006	"15-24"	54863
2007	"15-24"	59820
2008	"15-24"	29627
2009	"15-24"	15564
2010	"15-24"	96339
2011	"15-24"	90328
2012	"15-24"	69380
2013	"15-24"	79751
2014	"15-24"	3437
2015	"15-24"	48302
2016	"15-24"	76087
2017	"15-24"	22424
2018	"15-24"	32500
2019	"15-24"	23931
2000	"25-64"	15137
2001	"25-64"	42040
2002	"25-64"	41959
2003	"25-64"	37516
2004	"25-64"	16092
2005	"25-64"	14742
2006	"25-64"	24070
2007	"25-64"	47130
2008	"25-64"	27331
2009	"25-64"	85925
2010	"25-64"	5537
2011	"25-64"	44778
2012	"25-64"	80094
2013	"25-64"	13068
2014	"25-64"	56534
2015	"25-64"	21447
2016	"25-64"	13626
2017	"25-64"	75577
2018	"25-64"	89609
2019	"25-64"	38072
2000	"65+"	66846
2001	"65+"	10389
2002	"65+"	39013
2003	"65+"	28164
2004	"65+"	81649
2005	"65+"	45403
2006	"65+"	81196
2007	"65+"	81427
2008	"65+"	79640
2009	"65+"	44543
2010	"65+"	75693
2011	"65+"	63293
2012	"65+"	71308
2013	"65+"	1062
2014	"65+"	48056
2015	"65+"	22792
2016	"65+"	38602
2017	"65+"	61664
2018	"65+"	35828
2019	"65+"	12002
