order_id,context,chart_type,task,comment,classification,,classes of errors
22,health,bar,estimate average,wrong calculation,Incorrect Answer,,Inappropriate Visual-Data Correspondence
23,health,bar,describe trend or correlation,,Task Not Suitable for Chart,,Disregards Perceptual Limits
27,health,stacked bar,make comparisons,two correct answers,Multiple Correct Answers,,Information Lost by Aggregation
31,health,stacked bar,identify labels of scales,chart rotated so horizontal is vertical,Incorrect Answer,,Task Not Suitable for Chart
58,health,area,describe the topic of the visualization,ambiguity - cumulative,Unclear Phrasing of Question,,Unclear Phrasing of Question
59,health,area,estimate difference,ambiguity - cumulative,Unclear Phrasing of Question,,Incorrect Answer
60,health,area,estimate ratio,ambiguity - cumulative,Unclear Phrasing of Question,,Item Irrelevant for Task
67,health,stacked area,identify range,hard to estimate,Disregards Perceptual Limits,,Multiple Correct Answers
74,health,stacked area,estimate average,hard to estimate,Disregards Perceptual Limits,,Special Error: Options Do Not Contain Meaningful Content
76,health,stacked area,describe the characteristics of an alternative chart type,can be hard to replace,Task Not Suitable for Chart,,Special Error: TokenOverflow
86,health,scatterplot,estimate ratio,ratio of two different types of values,Item Irrelevant for Task,,Special Error: Pie Chart without Color Legend
89,health,scatterplot,describe the characteristics of an alternative chart type,box plot description too technical and multiple answers could be right,Special Error: Boxplot Description Too Technical,,Special Error: Boxplot Description Too Technical
93,health,bubble ,identify range,aggregation (size of bubble),Information Lost by Aggregation,,
98,health,bubble ,estimate difference,aggregation (size of bubble),Information Lost by Aggregation,,
102,health,bubble ,describe the characteristics of an alternative chart type,bubble chart hard to replace,Task Not Suitable for Chart,,
114,health,pie,describe trend or correlation,trend hard to ask for pie,Task Not Suitable for Chart,,
121,health,histogram,locate value,retrieve rather than locate,Item Irrelevant for Task,,
124,health,histogram,estimate difference,wrong calculation,Incorrect Answer,,
128,health,histogram,describe the characteristics of an alternative chart type,same chart type,Item Irrelevant for Task,,
134,health,choropleth map,locate value,aggregation (color),Information Lost by Aggregation,,
137,health,choropleth map,estimate difference,aggregation (color),Information Lost by Aggregation,,
139,health,choropleth map,estimate average,aggregation (color),Information Lost by Aggregation,,
145,health,tree map,identify range,hard,Disregards Perceptual Limits,,
153,health,tree map,describe trend or correlation,trend for tree map ,Task Not Suitable for Chart,,
