"Pid","trialName","Qid","Answer"
"expert_1","area_chart-identify_labels_of_scales-food_and_agriculture","q1","4"
"expert_1","area_chart-identify_labels_of_scales-food_and_agriculture","q2","4"
"expert_1","area_chart-identify_labels_of_scales-food_and_agriculture","q3","Yes"
"expert_1","area_chart-identify_labels_of_scales-food_and_agriculture","q4","Yes"
"expert_1","area_chart-identify_labels_of_scales-food_and_agriculture","q5",""
"expert_1","stacked_bar_chart-identify_labels_of_scales-energy_and_environment","q3","Yes"
"expert_1","stacked_bar_chart-identify_labels_of_scales-energy_and_environment","q4","Yes"
"expert_1","stacked_bar_chart-identify_labels_of_scales-energy_and_environment","q2","3"
"expert_1","stacked_bar_chart-identify_labels_of_scales-energy_and_environment","q1","4"
"expert_1","stacked_bar_chart-identify_labels_of_scales-energy_and_environment","q5",""
"expert_1","100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q2","3"
"expert_1","100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q4","Yes"
"expert_1","100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q1","2"
"expert_1","100_percent_stacked_bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q5",""
"expert_1","scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","q3","Yes"
"expert_1","scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","q5","Donts overlap, which makes counting hard."
"expert_1","scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","q1","3"
"expert_1","scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","q4","Yes"
"expert_1","scatterplot-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","q2","4"
"expert_1","stacked_area_chart-retrieve_value-economy","q4","Yes"
"expert_1","stacked_area_chart-retrieve_value-economy","q2","4"
"expert_1","stacked_area_chart-retrieve_value-economy","q3","Yes"
"expert_1","stacked_area_chart-retrieve_value-economy","q1","1"
"expert_1","stacked_area_chart-retrieve_value-economy","q5","I would have to do math and a bunch of approximations to guess the value."
"expert_1","area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q3","Yes"
"expert_1","area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q5",""
"expert_1","area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q1","3"
"expert_1","area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q4","Yes"
"expert_1","area_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography","q2","4"
"expert_1","bar_chart-locate_value-politics","q4","Yes"
"expert_1","bar_chart-locate_value-politics","q1","4"
"expert_1","bar_chart-locate_value-politics","q5","This works."
"expert_1","bar_chart-locate_value-politics","q3","Yes"
"expert_1","bar_chart-locate_value-politics","q2","4"
"expert_1","pie_chart-identify_range-innovation","q2","4"
"expert_1","pie_chart-identify_range-innovation","q3","Yes"
"expert_1","pie_chart-identify_range-innovation","q5","I mean I could make a guess for the ranges, but really hard to figure out. Specially since Product innovation is about 25%, I can assume that the others are in the 20/30 range. "
"expert_1","pie_chart-identify_range-innovation","q4","Yes"
"expert_1","pie_chart-identify_range-innovation","q1","2"
"expert_1","choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture","q4","Yes"
"expert_1","choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture","q1","4"
"expert_1","choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture","q5",""
"expert_1","choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture","q2","4"
"expert_1","choropleth_map-describe_the_topic_of_the_visualization-food_and_agriculture","q3","Yes"
"expert_1","tree_map-locate_value-economy","q5",""
"expert_1","tree_map-locate_value-economy","q1","2"
"expert_1","tree_map-locate_value-economy","q4","Yes"
"expert_1","tree_map-locate_value-economy","q3","Yes"
"expert_1","tree_map-locate_value-economy","q2","4"
"expert_1","100_percent_stacked_bar_chart-identify_range-health","q5","The question here is more clear. But I can't really guess teh range for each category across different ages because I would have to do a lot of guessing and math. :D."
"expert_1","100_percent_stacked_bar_chart-identify_range-health","q3","Yes"
"expert_1","100_percent_stacked_bar_chart-identify_range-health","q4","Yes"
"expert_1","100_percent_stacked_bar_chart-identify_range-health","q2","4"
"expert_1","100_percent_stacked_bar_chart-identify_range-health","q1","1"
"expert_1","stacked_bar_chart-make_comparisons-education","q4","Yes"
"expert_1","stacked_bar_chart-make_comparisons-education","q5","It's really hard to make comparison's using the chart. Even understanding what the question is asking for and searching for all the colors takes a good few minutes."
"expert_1","stacked_bar_chart-make_comparisons-education","q3","Yes"
"expert_1","stacked_bar_chart-make_comparisons-education","q1","1"
"expert_1","stacked_bar_chart-make_comparisons-education","q2","3"
"expert_1","stacked_area_chart-identify_range-innovation","q1","1"
"expert_1","stacked_area_chart-identify_range-innovation","q5","The way I understand the question, it's asking for total number of innovations for all categories combined. The answers seem to show the range for each category. This chart i fine for making an estimate for all categories, but would be really hard for the the maximum range of innovation from within."
"expert_1","stacked_area_chart-identify_range-innovation","q2","2"
"expert_1","stacked_area_chart-identify_range-innovation","q3","No"
"expert_1","stacked_area_chart-identify_range-innovation","q4","No"
"expert_1","scatterplot-identify_labels_of_scales-economy","q1","4"
"expert_1","scatterplot-identify_labels_of_scales-economy","q5",""
"expert_1","scatterplot-identify_labels_of_scales-economy","q2","4"
"expert_1","scatterplot-identify_labels_of_scales-economy","q3","Yes"
"expert_1","scatterplot-identify_labels_of_scales-economy","q4","Yes"
"expert_1","tree_map-retrieve_value-politics","q1","1"
