Pid,trialName,q5,q3,reason,tentative decision
expert_2,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,I'm skipping any remaining mental math Q's and just putting random answers.,Yes,only one (1/5) expert said no. the rating from the expert who didn't want to do any estimate value problems was removed since they provided random answers,"q3: Y
keep"
expert_7,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
expert_8,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
expert_10,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,No,,
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
author2,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
expert_2,100_percent_stacked_bar_chart-make_comparisons-politics,This is a very poor vis for this task. It would make more sense to organize the chart by party rather than by issue. It's not even clear what a 100% total for a given issue means when broken down by party. It is an illogical chart. It is impossible to accurately answer the question with the information given.,No,direct comparisons between two segments of different bars on a 100% bar chart can be problematic.,"q3: N
remove"
expert_7,100_percent_stacked_bar_chart-make_comparisons-politics,,Yes,,
expert_9,100_percent_stacked_bar_chart-make_comparisons-politics,,Yes,,
expert_10,100_percent_stacked_bar_chart-make_comparisons-politics,"Party A does have a bigger percentage in the Environment column than the Economy column (which I think is the intended takeaway), but because these stacked bars are scaled to the relative percentage of attention WITHIN EACH TOPIC, direct comparisons between sections of different topics cannot be made without an understanding of the relative sizes of each ""Issue"".",No,,
author1,100_percent_stacked_bar_chart-make_comparisons-politics,,Yes,,
author2,100_percent_stacked_bar_chart-make_comparisons-politics,,Yes,,
expert_2,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,need an average line,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_7,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,cannot tell between (A) and (D),Yes,,
expert_9,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,,Yes,,
expert_10,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,,No,,
author1,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,,Yes,,
author2,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,,Yes,,
expert_2,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,You want me to do mental math? Forget it.,No,only one expert said no and this expert didn't want to do any estimate value problems,"q3: Y
keep"
expert_7,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
expert_9,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
expert_10,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,"For estimation questions, I would recommend rounding all values",Yes,,
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
author2,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,"two options are the same, which is probably not ideal as part of MC",Yes,,
expert_1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,"Multiple ways to create an alternative bar chart. But within the choices, the answer seems right.",Yes,"bubble chart is hard to replace in the ""describe the characteristics of an alternative chart type"" task

only one person said no and the majority said yes","q3: Y
keep"
expert_5,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,Yes,,
expert_9,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,,Yes,,
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,bubble chart is hard to show in a different chart type,Yes,,
author2,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,either the question should clarify the relevant variables or somehow include all variables in the bubble chart? ,No,,
expert_3,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,,Yes,only one expert said no but majority said yes,"q3: Y
keep"
expert_7,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,,Yes,,
expert_8,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,It's too hard to tell,No,,
expert_10,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,,Yes,,
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,"seems like it should be around 70,000",Yes,,
author2,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,,Yes,,
expert_2,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,"Again, not gonna do the mental math here",No,only two experts said no but majority said yes,"q3: Y
keep"
expert_5,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
expert_9,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
expert_10,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,The need to translate units make this a poor stimulus to test a person's ability to estimate the difference between two values,No,,
author1,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
author2,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,,Yes,,
expert_2,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,Still not doing the mental math.,No,"size of bubbles can be hard to compare in estimate value problems.

more people said yes than no","q3: Y
keep"
expert_7,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,Yes,,
expert_9,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,Yes,,
expert_10,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,"Overall comment: why rely so heavily on legends? The Locations could easily be labeled directly, which would focus the user's attention on the actual comparison task.",No,,
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,size can be hard to compare (aggregation),Yes,,
author2,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,,Yes,,
expert_2,bubble_chart-identify_range-health,,No,"bubble size is not suitable for ""identify range"" items because sizes are hard to estimate

if range is about size, then remove","q3: N
remove"
expert_7,bubble_chart-identify_range-health,,No,,
expert_8,bubble_chart-identify_range-health,"We know that it's bad to map values to glyph sizes, so is it reasonable to use a chart with bad encodings to evaluate vis literacy?",Yes,,
expert_10,bubble_chart-identify_range-health,"Color is distracting / causes visual artifacts (maybe labels instead?) and the legend suggests that this is a discrete mapping, when it is actually an interpolation",Yes,,
author1,bubble_chart-identify_range-health,,Yes,,
author2,bubble_chart-identify_range-health,,Yes,,
expert_2,bubble_chart-make_comparisons-economy,The question focuses on two countries but it isn't at all clear which two are referred to.,No,"question is unclear, making it not answerable","q3: N
remove"
expert_5,bubble_chart-make_comparisons-economy,"The language of the question supposes there are two countries, but there are seven.",No,,
expert_9,bubble_chart-make_comparisons-economy,,Yes,,
expert_10,bubble_chart-make_comparisons-economy,"""the one with the higher GDP"" and ""the one with the lower unemployment rate"" are relative questions, but it isn't clear which two I am supposed to be comparing.

Did you mean ""-est"" instead of ""-er""?",Yes,,
author1,bubble_chart-make_comparisons-economy,unclear question,No,,
author2,bubble_chart-make_comparisons-economy,which 2 countries?,No,,
expert_2,bubble_chart-retrieve_value-politics,Hard to retrieve a value with this visual encoding,No,only one expert said no but majority said yes,"q3: Y
keep"
expert_7,bubble_chart-retrieve_value-politics,Both (B) and (D) could be correct.,Yes,,
expert_9,bubble_chart-retrieve_value-politics,,Yes,,
expert_10,bubble_chart-retrieve_value-politics,The options should be place-value justified,Yes,,
author1,bubble_chart-retrieve_value-politics,,Yes,,
author2,bubble_chart-retrieve_value-politics,,Yes,,
expert_3,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,,Yes,"
estimate average is very hard in choropleth map because of aggregation

only one expert said no but majority said yes","q3: N
remove"
expert_6,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,,Yes,,
expert_7,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,,Yes,,
expert_8,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,"There should be an option for ""can't tell from the graph""",No,,
author1,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,too hard to estimate... aggregation,Yes,,
author2,choropleth_map-estimate_the_average_of_multiple_values_of_the_same_type-economy,,Yes,,
expert_3,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,"Read this as ""What's the difference in Texas and Oklahoma?"" Texas is great, while Oklahoma is just OK.
I'm not sure how to estimate the difference: given [A,B) and [B, C), would we take B - A or C - B? And those are ranges so any answer won't be exact.",No,"
estimate difference is very hard in choropleth map because of aggregation

","q3: N
remove"
expert_6,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,"For estimation, the extreme level of precisions does not seem necessary and the color bucketing adds additional ambiguity. ",Yes,,
expert_7,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,,Yes,,
expert_8,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,I can't estimate the difference with color encoding,No,,
author1,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,aggregation problem,Yes,,
author2,choropleth_map-estimate_the_difference_between_two_values_of_the_same_type-economy,,Yes,,
expert_3,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,"The bins are different sizes in the legend. The first difference is 437, then 139, then 330, etc. If they were equally sized, then it would be easier to estimate the ratios.",Yes,"
estimate ratio is very hard in choropleth map because of aggregation

only one expert said no but majority said yes","q3: Y
keep"
expert_4,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,No,,
expert_6,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
expert_11,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,,Yes,,
author1,choropleth_map-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,this one is ok but in general aggregation make things hard or impossible unless options are easy,Yes,,
