Pid,trialName,q4,q5,reason,tentative decision
expert_2,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,Yes,I'm skipping any remaining mental math Q's and just putting random answers.,only one expert said no and the majority said yes,"q4: Y
keep"
expert_7,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,Yes,,,
expert_8,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,Yes,,,
expert_10,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,No,,,
author1,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,Yes,,,
author2,100_percent_stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-health,Yes,,,
expert_3,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,More than one option could be considered correct,,"""judge which vis is better"" sometimes doesn't have a clear single best answer

majority of people said ""more than one""","q4: N
remove"
expert_6,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,Yes,,,
expert_7,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,Yes,,,
expert_8,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,More than one option could be considered correct,Why not show people data (like in a table) and also show options A to D as visualizations. Currently the options are a bit abstract and definitely bias towards option D,,
author1,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,More than one option could be considered correct,A can be right too,,
author2,100_percent_stacked_bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-innovation,More than one option could be considered correct,,,
expert_2,100_percent_stacked_bar_chart-make_comparisons-politics,More than one option could be considered correct,This is a very poor vis for this task. It would make more sense to organize the chart by party rather than by issue. It's not even clear what a 100% total for a given issue means when broken down by party. It is an illogical chart. It is impossible to accurately answer the question with the information given.,"error documented in ""answerable"". half of the people did not say ""yes""","q4: N
remove"
expert_7,100_percent_stacked_bar_chart-make_comparisons-politics,Yes,,,
expert_9,100_percent_stacked_bar_chart-make_comparisons-politics,No,,,
expert_10,100_percent_stacked_bar_chart-make_comparisons-politics,No,"Party A does have a bigger percentage in the Environment column than the Economy column (which I think is the intended takeaway), but because these stacked bars are scaled to the relative percentage of attention WITHIN EACH TOPIC, direct comparisons between sections of different topics cannot be made without an understanding of the relative sizes of each ""Issue"".",,
author1,100_percent_stacked_bar_chart-make_comparisons-politics,Yes,,,
author2,100_percent_stacked_bar_chart-make_comparisons-politics,Yes,,,
expert_2,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,More than one option could be considered correct,need an average line,"estimating average is hard

half of the people did not say yes, but it is a difficult and not an impossible one","q4: Y
keep"
expert_7,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,More than one option could be considered correct,cannot tell between (A) and (D),,
expert_9,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,Yes,,,
expert_10,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,No,,,
author1,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,Yes,,,
author2,area_chart-estimate_the_average_of_multiple_values_of_the_same_type-innovation,Yes,,,
expert_1,area_chart-judge_which_task_this_visualization_design_best_supports-health,Yes,,"""judge which task this vis best supports"" is choosing one *best* option

only one said ""more than one"" and the majority said yes","q4: Y
keep"
expert_5,area_chart-judge_which_task_this_visualization_design_best_supports-health,Yes,,,
expert_9,area_chart-judge_which_task_this_visualization_design_best_supports-health,Yes,,,
author1,area_chart-judge_which_task_this_visualization_design_best_supports-health,Yes,,,
author2,area_chart-judge_which_task_this_visualization_design_best_supports-health,More than one option could be considered correct,,,
expert_3,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,line chart is better for showing trend than bar chart. more people said yes than than the rest,"q4: Y
keep"
expert_4,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
expert_6,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,More than one option could be considered correct,"I could see someone making a case for the scatterplot, and without a text explanation it might be hard to know the rationale for how people are completing this task (to fully assess their ability). I also wonder about showing the accompanying visualization, as that could potentially skew answers one way or another.",,
expert_11,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
author1,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
author2,area_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,More than one option could be considered correct,line and bar could both work fine,,
expert_2,area_chart-make_comparisons-food_and_agriculture,Yes,Better tick mark labels would make it clearer where 2019 is. A reference line would make it easier to compare the far apart data points.,only one expert said no and the majority said yes,"q4: Y
keep"
expert_7,area_chart-make_comparisons-food_and_agriculture,No,,,
expert_8,area_chart-make_comparisons-food_and_agriculture,Yes,,,
expert_10,area_chart-make_comparisons-food_and_agriculture,Yes,"You may get some confounding if you're looking primarily for the effect of visType because ""2000"" has a label, but ""2019"" does not",,
author1,area_chart-make_comparisons-food_and_agriculture,Yes,,,
author2,area_chart-make_comparisons-food_and_agriculture,Yes,,,
expert_2,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,Yes,,only one expert said no and the majority said yes,"q4: Y
keep"
expert_7,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,Yes,,,
expert_8,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,,,
expert_10,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,Yes,,,
author1,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,Yes,,,
author2,bar_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,Yes,,,
expert_2,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,More than one option could be considered correct,You want me to do mental math? Forget it.,only one expert said no and the majority said yes,"q4: Y
keep"
expert_7,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
expert_9,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
expert_10,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,"For estimation questions, I would recommend rounding all values",,
author1,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
author2,bar_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,"two options are the same, which is probably not ideal as part of MC",,
expert_3,bar_chart-identify_labels_of_scales-education,Yes,,only one expert said no and the majority said yes,"q4: Y
keep"
expert_6,bar_chart-identify_labels_of_scales-education,Yes,"These tasks seem to be related to extracting the title of the axes (from the visualization); for the task ""identify labels of scales"" I can see why it is phrased this way, but for a general question about people's ability to extract this information from a visualization, I wonder if it could be more direct. I also would normally think of ""labels"" as the values on the axes (""Art"", ""Biology"", etc.) and the ""title"" as what we're considering the scale label (more similar to Vega-Lite's axis config options).

I also wonder if there is a reason for asking about both horizontal and vertical at the same time.",,
expert_7,bar_chart-identify_labels_of_scales-education,Yes,,,
expert_8,bar_chart-identify_labels_of_scales-education,More than one option could be considered correct,Not sure what the point of the question is?,,
author1,bar_chart-identify_labels_of_scales-education,Yes,,,
author2,bar_chart-identify_labels_of_scales-education,Yes,,,
expert_3,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,More than one option could be considered correct,,bar chart is better for comparing than line chart. more people said yes than the rest,"q4: Y
keep"
expert_7,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
expert_8,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,More than one option could be considered correct,,,
expert_10,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
author1,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
author2,bar_chart-judge_which_visualization_design_is_more_appropriate_for_a_task-weather_and_climate,Yes,,,
expert_1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,Yes,"Multiple ways to create an alternative bar chart. But within the choices, the answer seems right.",bubble chart is hard to replace by another chart,"q4: N
remove"
expert_5,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,Yes,,,
expert_9,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,More than one option could be considered correct,,,
author1,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,No,bubble chart is hard to show in a different chart type,,
author2,bubble_chart-describe_the_characteristics_of_an_alternative_chart_type-weather_and_climate,No,either the question should clarify the relevant variables or somehow include all variables in the bubble chart? ,,
expert_3,bubble_chart-describe_trend_or_correlation-economy,Yes,,only one expert said more than one answer and the majority said yes,"q4: Y
keep"
expert_4,bubble_chart-describe_trend_or_correlation-economy,Yes,,,
expert_6,bubble_chart-describe_trend_or_correlation-economy,Yes,,,
expert_11,bubble_chart-describe_trend_or_correlation-economy,More than one option could be considered correct,,,
author1,bubble_chart-describe_trend_or_correlation-economy,Yes,,,
author2,bubble_chart-describe_trend_or_correlation-economy,Yes,,,
expert_3,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,,hard to estimate average on bubble size,"q4: N
remove"
expert_7,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,,,
expert_8,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,It's too hard to tell,,
expert_10,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,,,
author1,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,"seems like it should be around 70,000",,
author2,bubble_chart-estimate_the_average_of_multiple_values_of_the_same_type-population_and_demography,No,,,
expert_2,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,More than one option could be considered correct,"Again, not gonna do the mental math here","comparing x axis values, majority said yes","q4: Y
keep"
expert_5,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
expert_9,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
expert_10,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,More than one option could be considered correct,The need to translate units make this a poor stimulus to test a person's ability to estimate the difference between two values,,
author1,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
author2,bubble_chart-estimate_the_difference_between_two_values_of_the_same_type-population_and_demography,Yes,,,
expert_2,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,More than one option could be considered correct,Still not doing the mental math.,may be hard to do due to aggregation on bubble size and bubble size is hard to estimate,"q4: N
remove"
expert_7,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,No,,,
expert_9,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,No,,,
expert_10,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,No,"Overall comment: why rely so heavily on legends? The Locations could easily be labeled directly, which would focus the user's attention on the actual comparison task.",,
author1,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,Yes,size can be hard to compare (aggregation),,
author2,bubble_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-weather_and_climate,Yes,,,
expert_2,bubble_chart-identify_range-health,No,,may be hard to do due to aggregation on bubble size and bubble size is hard to estimate,"q4: N
remove"
expert_7,bubble_chart-identify_range-health,No,,,
expert_8,bubble_chart-identify_range-health,No,"We know that it's bad to map values to glyph sizes, so is it reasonable to use a chart with bad encodings to evaluate vis literacy?",,
expert_10,bubble_chart-identify_range-health,Yes,"Color is distracting / causes visual artifacts (maybe labels instead?) and the legend suggests that this is a discrete mapping, when it is actually an interpolation",,
author1,bubble_chart-identify_range-health,Yes,,,
author2,bubble_chart-identify_range-health,Yes,,,
expert_2,bubble_chart-make_comparisons-economy,No,The question focuses on two countries but it isn't at all clear which two are referred to.,not answerable due to lack of clarity,"q4: no
remove"
expert_5,bubble_chart-make_comparisons-economy,No,"The language of the question supposes there are two countries, but there are seven.",,
expert_9,bubble_chart-make_comparisons-economy,No,,,
expert_10,bubble_chart-make_comparisons-economy,More than one option could be considered correct,"""the one with the higher GDP"" and ""the one with the lower unemployment rate"" are relative questions, but it isn't clear which two I am supposed to be comparing.

Did you mean ""-est"" instead of ""-er""?",,
author1,bubble_chart-make_comparisons-economy,No,unclear question,,
author2,bubble_chart-make_comparisons-economy,No,which 2 countries?,,
