"region"	"value"
"alabama"	61662
"alaska"	67869
"arizona"	12985
"arkansas"	39924
"california"	78292
"colorado"	72554
"connecticut"	55403
"delaware"	75160
"florida"	56434
"georgia"	19641
"hawaii"	69133
"idaho"	62131
"illinois"	24182
"indiana"	25179
"iowa"	37167
"kansas"	99708
"kentucky"	19096
"louisiana"	40537
"maine"	66218
"maryland"	17988
"massachusetts"	23535
"michigan"	16215
"minnesota"	93518
"mississippi"	39393
"missouri"	63240
"montana"	38824
"nebraska"	10040
"nevada"	24425
"new hampshire"	82819
"new jersey"	61655
"new mexico"	68526
"new york"	87008
"north carolina"	53041
"north dakota"	87836
"ohio"	16133
"oklahoma"	43522
"oregon"	31811
"pennsylvania"	49894
"rhode island"	19639
"south carolina"	95277
"south dakota"	19325
"tennessee"	36509
"texas"	30959
"utah"	24402
"vermont"	74501
"virginia"	81502
"washington"	55220
"west virginia"	87584
"wisconsin"	90685
"wyoming"	80562
"district of columbia"	42605
