"region"	"value"
"alabama"	514
"alaska"	562
"arizona"	278
"arkansas"	625
"california"	294
"colorado"	917
"connecticut"	217
"delaware"	398
"florida"	328
"georgia"	343
"hawaii"	113
"idaho"	473
"illinois"	764
"indiana"	701
"iowa"	702
"kansas"	867
"kentucky"	808
"louisiana"	190
"maine"	447
"maryland"	748
"massachusetts"	454
"michigan"	939
"minnesota"	125
"mississippi"	618
"missouri"	525
"montana"	748
"nebraska"	865
"nevada"	310
"new hampshire"	689
"new jersey"	692
"new mexico"	654
"new york"	970
"north carolina"	472
"north dakota"	943
"ohio"	242
"oklahoma"	643
"oregon"	589
"pennsylvania"	720
"rhode island"	874
"south carolina"	941
"south dakota"	122
"tennessee"	408
"texas"	234
"utah"	920
"vermont"	323
"virginia"	265
"washington"	316
"west virginia"	389
"wisconsin"	680
"wyoming"	171
"district of columbia"	687
