"region"	"value"
"alabama"	385
"alaska"	895
"arizona"	548
"arkansas"	575
"california"	960
"colorado"	868
"connecticut"	438
"delaware"	394
"florida"	785
"georgia"	653
"hawaii"	926
"idaho"	635
"illinois"	580
"indiana"	755
"iowa"	651
"kansas"	649
"kentucky"	967
"louisiana"	285
"maine"	119
"maryland"	100
"massachusetts"	548
"michigan"	821
"minnesota"	986
"mississippi"	495
"missouri"	844
"montana"	933
"nebraska"	813
"nevada"	204
"new hampshire"	654
"new jersey"	437
"new mexico"	837
"new york"	696
"north carolina"	815
"north dakota"	975
"ohio"	584
"oklahoma"	280
"oregon"	712
"pennsylvania"	258
"rhode island"	292
"south carolina"	322
"south dakota"	744
"tennessee"	570
"texas"	818
"utah"	589
"vermont"	299
"virginia"	336
"washington"	373
"west virginia"	977
"wisconsin"	270
"wyoming"	659
"district of columbia"	326
