"Year"	"Sector"	"Value"
2000	"Agriculture"	278
2000	"Manufacturing"	125
2000	"Services"	408
2000	"Construction"	115
2001	"Agriculture"	113
2001	"Manufacturing"	106
2001	"Services"	323
2001	"Construction"	215
2002	"Agriculture"	294
2002	"Manufacturing"	236
2002	"Services"	265
2002	"Construction"	193
2003	"Agriculture"	405
2003	"Manufacturing"	353
2003	"Services"	316
2003	"Construction"	361
2004	"Agriculture"	217
2004	"Manufacturing"	310
2004	"Services"	389
2004	"Construction"	334
2005	"Agriculture"	398
2005	"Manufacturing"	177
2005	"Services"	168
2005	"Construction"	185
2006	"Agriculture"	328
2006	"Manufacturing"	180
2006	"Services"	171
2006	"Construction"	441
2007	"Agriculture"	343
2007	"Manufacturing"	142
2007	"Services"	175
2007	"Construction"	138
2008	"Agriculture"	113
2008	"Manufacturing"	458
2008	"Services"	162
2008	"Construction"	258
2009	"Agriculture"	473
2009	"Manufacturing"	472
2009	"Services"	240
2009	"Construction"	339
2010	"Agriculture"	252
2010	"Manufacturing"	431
2010	"Services"	309
2010	"Construction"	308
2011	"Agriculture"	189
2011	"Manufacturing"	242
2011	"Services"	452
2011	"Construction"	473
2012	"Agriculture"	190
2012	"Manufacturing"	131
2012	"Services"	446
2012	"Construction"	405
2013	"Agriculture"	355
2013	"Manufacturing"	208
2013	"Services"	252
2013	"Construction"	133
2014	"Agriculture"	296
2014	"Manufacturing"	362
2014	"Services"	393
2014	"Construction"	103
2015	"Agriculture"	190
2015	"Manufacturing"	492
2015	"Services"	376
2015	"Construction"	112
2016	"Agriculture"	447
2016	"Manufacturing"	429
2016	"Services"	140
2016	"Construction"	168
2017	"Agriculture"	236
2017	"Manufacturing"	122
2017	"Services"	189
2017	"Construction"	482
2018	"Agriculture"	454
2018	"Manufacturing"	408
2018	"Services"	415
2018	"Construction"	342
2019	"Agriculture"	427
2019	"Manufacturing"	234
2019	"Services"	322
2019	"Construction"	407
