"Year"	"Crop"	"Production"
2000	"Wheat"	63
2001	"Wheat"	99
2002	"Wheat"	167
2003	"Wheat"	92
2004	"Wheat"	63
2005	"Wheat"	167
2006	"Wheat"	139
2007	"Wheat"	140
2008	"Wheat"	140
2009	"Wheat"	141
2010	"Wheat"	186
2011	"Wheat"	148
2012	"Wheat"	121
2013	"Wheat"	75
2014	"Wheat"	56
2015	"Wheat"	186
2016	"Wheat"	127
2017	"Wheat"	130
2018	"Wheat"	92
2019	"Wheat"	152
2000	"Rice"	166
2001	"Rice"	125
2002	"Rice"	192
2003	"Rice"	81
2004	"Rice"	158
2005	"Rice"	56
2006	"Rice"	186
2007	"Rice"	123
2008	"Rice"	72
2009	"Rice"	102
2010	"Rice"	184
2011	"Rice"	102
2012	"Rice"	83
2013	"Rice"	118
2014	"Rice"	121
2015	"Rice"	125
2016	"Rice"	112
2017	"Rice"	190
2018	"Rice"	146
2019	"Rice"	140
2000	"Corn"	87
2001	"Corn"	70
2002	"Corn"	90
2003	"Corn"	139
2004	"Corn"	109
2005	"Corn"	65
2006	"Corn"	165
2007	"Corn"	143
2008	"Corn"	55
2009	"Corn"	135
2010	"Corn"	135
2011	"Corn"	88
2012	"Corn"	167
2013	"Corn"	99
2014	"Corn"	83
2015	"Corn"	53
2016	"Corn"	62
2017	"Corn"	118
2018	"Corn"	176
2019	"Corn"	101
2000	"Soybeans"	71
2001	"Soybeans"	138
2002	"Soybeans"	74
2003	"Soybeans"	84
2004	"Soybeans"	161
2005	"Soybeans"	79
2006	"Soybeans"	189
2007	"Soybeans"	170
2008	"Soybeans"	159
2009	"Soybeans"	113
2010	"Soybeans"	191
2011	"Soybeans"	116
2012	"Soybeans"	200
2013	"Soybeans"	171
2014	"Soybeans"	128
2015	"Soybeans"	134
2016	"Soybeans"	185
2017	"Soybeans"	100
2018	"Soybeans"	123
2019	"Soybeans"	155
