"Year"	"Group"	"Value"
2001	"Cardiovascular"	278
2001	"Respiratory"	125
2001	"Infectious"	408
2001	"Neurological"	115
2002	"Cardiovascular"	113
2002	"Respiratory"	106
2002	"Infectious"	323
2002	"Neurological"	215
2003	"Cardiovascular"	294
2003	"Respiratory"	236
2003	"Infectious"	265
2003	"Neurological"	193
2004	"Cardiovascular"	405
2004	"Respiratory"	353
2004	"Infectious"	316
2004	"Neurological"	361
2005	"Cardiovascular"	217
2005	"Respiratory"	310
2005	"Infectious"	389
2005	"Neurological"	334
2006	"Cardiovascular"	398
2006	"Respiratory"	177
2006	"Infectious"	168
2006	"Neurological"	185
2007	"Cardiovascular"	328
2007	"Respiratory"	180
2007	"Infectious"	171
2007	"Neurological"	441
2008	"Cardiovascular"	343
2008	"Respiratory"	142
2008	"Infectious"	175
2008	"Neurological"	138
2009	"Cardiovascular"	113
2009	"Respiratory"	458
2009	"Infectious"	162
2009	"Neurological"	258
2010	"Cardiovascular"	473
2010	"Respiratory"	472
2010	"Infectious"	240
2010	"Neurological"	339
2011	"Cardiovascular"	252
2011	"Respiratory"	431
2011	"Infectious"	309
2011	"Neurological"	308
2012	"Cardiovascular"	189
2012	"Respiratory"	242
2012	"Infectious"	452
2012	"Neurological"	473
2013	"Cardiovascular"	190
2013	"Respiratory"	131
2013	"Infectious"	446
2013	"Neurological"	405
2014	"Cardiovascular"	355
2014	"Respiratory"	208
2014	"Infectious"	252
2014	"Neurological"	133
2015	"Cardiovascular"	296
2015	"Respiratory"	362
2015	"Infectious"	393
2015	"Neurological"	103
2016	"Cardiovascular"	190
2016	"Respiratory"	492
2016	"Infectious"	376
2016	"Neurological"	112
2017	"Cardiovascular"	447
2017	"Respiratory"	429
2017	"Infectious"	140
2017	"Neurological"	168
2018	"Cardiovascular"	236
2018	"Respiratory"	122
2018	"Infectious"	189
2018	"Neurological"	482
2019	"Cardiovascular"	454
2019	"Respiratory"	408
2019	"Infectious"	415
2019	"Neurological"	342
2020	"Cardiovascular"	427
2020	"Respiratory"	234
2020	"Infectious"	322
2020	"Neurological"	407
