"Year"	"Category"	"Value"
2000	"Tech_Advancements"	63
2001	"Tech_Advancements"	99
2002	"Tech_Advancements"	167
2003	"Tech_Advancements"	92
2004	"Tech_Advancements"	63
2005	"Tech_Advancements"	167
2006	"Tech_Advancements"	139
2007	"Tech_Advancements"	140
2008	"Tech_Advancements"	140
2009	"Tech_Advancements"	141
2010	"Tech_Advancements"	186
2011	"Tech_Advancements"	148
2012	"Tech_Advancements"	121
2013	"Tech_Advancements"	75
2014	"Tech_Advancements"	56
2015	"Tech_Advancements"	186
2016	"Tech_Advancements"	127
2017	"Tech_Advancements"	130
2018	"Tech_Advancements"	92
2019	"Tech_Advancements"	152
2000	"Research_Development"	166
2001	"Research_Development"	125
2002	"Research_Development"	192
2003	"Research_Development"	81
2004	"Research_Development"	158
2005	"Research_Development"	56
2006	"Research_Development"	186
2007	"Research_Development"	123
2008	"Research_Development"	72
2009	"Research_Development"	102
2010	"Research_Development"	184
2011	"Research_Development"	102
2012	"Research_Development"	83
2013	"Research_Development"	118
2014	"Research_Development"	121
2015	"Research_Development"	125
2016	"Research_Development"	112
2017	"Research_Development"	190
2018	"Research_Development"	146
2019	"Research_Development"	140
2000	"Patent_Filings"	87
2001	"Patent_Filings"	70
2002	"Patent_Filings"	90
2003	"Patent_Filings"	139
2004	"Patent_Filings"	109
2005	"Patent_Filings"	65
2006	"Patent_Filings"	165
2007	"Patent_Filings"	143
2008	"Patent_Filings"	55
2009	"Patent_Filings"	135
2010	"Patent_Filings"	135
2011	"Patent_Filings"	88
2012	"Patent_Filings"	167
2013	"Patent_Filings"	99
2014	"Patent_Filings"	83
2015	"Patent_Filings"	53
2016	"Patent_Filings"	62
2017	"Patent_Filings"	118
2018	"Patent_Filings"	176
2019	"Patent_Filings"	101
2000	"New_Startups"	71
2001	"New_Startups"	138
2002	"New_Startups"	74
2003	"New_Startups"	84
2004	"New_Startups"	161
2005	"New_Startups"	79
2006	"New_Startups"	189
2007	"New_Startups"	170
2008	"New_Startups"	159
2009	"New_Startups"	113
2010	"New_Startups"	191
2011	"New_Startups"	116
2012	"New_Startups"	200
2013	"New_Startups"	171
2014	"New_Startups"	128
2015	"New_Startups"	134
2016	"New_Startups"	185
2017	"New_Startups"	100
2018	"New_Startups"	123
2019	"New_Startups"	155
