"trialId","answer","correctAnswer","pid"
"100_percent_stacked_bar_chart-locate_value-economy","Agriculture, 2020","Agriculture, 2020","p66"
"100_percent_stacked_bar_chart-make_comparisons-weather_and_climate","Cloudy","Cloudy","p66"
"100_percent_stacked_bar_chart-retrieve_value-energy_and_environment","35%","35%","p66"
"area_chart-describe_trend_or_correlation-energy_and_environment","Energy Consumption has shown a decreasing trend over the years.","Energy Consumption has shown a decreasing trend over the years.","p66"
"area_chart-identify_range-population_and_demography","[1168, 4827]","[1168, 4827]","p66"
"area_chart-locate_value-education","2019","2019","p66"
"area_chart-retrieve_value-weather_and_climate","97","97","p66"
"bar_chart-identify_range-population_and_demography","[1194, 3510]","[1194, 3510]","p66"
"bar_chart-locate_value-population_and_demography","1194","1194","p66"
"bar_chart-make_comparisons-education","Both programs have the same number of graduates.","Both programs have the same number of graduates.","p66"
"bar_chart-retrieve_value-weather_and_climate","100","100","p66"
"bubble_chart-describe_trend_or_correlation-health","As age increases, systolic blood pressure decreases.","As age increases, systolic blood pressure decreases.","p66"
"bubble_chart-identify_range-weather_and_climate","[62, 96]","[62, 96]","p66"
"bubble_chart-locate_value-economy","Deltora","Deltora","p66"
"bubble_chart-make_comparisons-health","The patient aged 33 years","The patient aged 33 years","p66"
"bubble_chart-retrieve_value-economy","2 million","7 million","p66"
"bubble_chart_with_cluster-identify_clusters-population_and_demography","City 1, City 2, City 3, and City 4","City 1, City 2, City 3, and City 4","p66"
"bubble_chart_with_outlier-identify_anomalies-education","School A","School A","p66"
"choropleth_map-locate_value-food_and_agriculture","New York","New York","p66"
"choropleth_map-make_comparisons-health","Colorado","Colorado","p66"
"choropleth_map-retrieve_value-health","1994","1994","p66"
"histogram-locate_value-economy","$82,000","$82,000","p66"
"histogram-make_comparisons-food_and_agriculture","0-9","0-9","p66"
"histogram-retrieve_value-health","188","222","p66"
"line_chart-describe_trend_or_correlation-food_and_agriculture","Agricultural production shows a consistent decrease from 2000 to 2019.","Agricultural production shows a consistent decrease from 2000 to 2019.","p66"
"line_chart-estimate_the_difference_between_two_values_of_the_same_type-economy","8","8","p66"
"line_chart-identify_range-weather_and_climate","[52, 98]","[52, 98]","p66"
"line_chart-locate_value-weather_and_climate","Day 11 and Day 20","Day 11 and Day 20","p66"
"line_chart-retrieve_value-health","64","64","p66"
"pie_chart-locate_value-food_and_agriculture","Dairy","Dairy","p66"
"pie_chart-make_comparisons-politics","The Socialist party has a larger percentage share.","The Socialist party has a larger percentage share.","p66"
"pie_chart-retrieve_value-population_and_demography","15%","15%","p66"
"scatterplot-describe_trend_or_correlation-politics","As Voter Turnout increases, Opposition Support decreases.","As Voter Turnout increases, Opposition Support decreases.","p66"
"scatterplot-identify_range-economy","[537, 1991]","[537, 1991]","p66"
"scatterplot-locate_value-innovation","Research Investment of 38 million","Research Investment of 38 million","p66"
"scatterplot-make_comparisons-economy","The Unemployment Rate is higher at a GDP of 1500 billion.","The Unemployment Rate is higher at a GDP of 1500 billion.","p66"
"scatterplot-retrieve_value-health","117 cm","117 cm","p66"
"scatterplot_with_cluster-identify_clusters-economy","Around GDP of 300 and Unemployment Rate of 12","Around GDP of 300 and Unemployment Rate of 12","p66"
"scatterplot_with_outlier-identify_anomalies-food_and_agriculture","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","Crop Yield: 120 quintals/ha, Fertilizer Use: 250 kg/ha","p66"
"stacked_area_chart-describe_trend_or_correlation-food_and_agriculture","Production of each crop fluctuates without a clear upward or downward trend.","Production of each crop fluctuates without a clear upward or downward trend.","p66"
"stacked_area_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","0.4","0.7","p66"
"stacked_area_chart-locate_value-food_and_agriculture","2012","2012","p66"
"stacked_area_chart-make_comparisons-economy","Manufacturing","Agriculture","p66"
"stacked_area_chart-retrieve_value-politics","917","917","p66"
"stacked_bar_chart-estimate_the_ratio_of_one_value_to_another_value_of_the_same_type-economy","1.2","1.2","p66"
"stacked_bar_chart-locate_value-energy_and_environment","Country H - Nuclear","Country H - Nuclear","p66"
"stacked_bar_chart-make_comparisons-economy","Technology","Technology","p66"
"stacked_bar_chart-retrieve_value-economy","492","492","p66"
"tree_map-identify_the_hierarchical_structure-politics","Foreign Policy","Foreign Policy","p66"
"tree_map-locate_value-innovation","Pharma","Pharma","p66"
"tree_map-retrieve_value-education","20%","20%","p66"
"100_percent_stacked_bar_chart-locate_value-economy","Agriculture, 2020","Agriculture, 2020","p32"
"100_percent_stacked_bar_chart-make_comparisons-economy","Both had the same share","Manufacturing","p32"
"100_percent_stacked_bar_chart-retrieve_value-education","30%","30%","p32"
"area_chart-describe_trend_or_correlation-economy","The GDP remains constant over the years.","The GDP remains constant over the years.","p32"
"area_chart-identify_range-economy","[961, 961]","[961, 961]","p32"
"area_chart-locate_value-economy","Every year from 2001 to 2020","Every year from 2001 to 2020","p32"
"area_chart-retrieve_value-politics","328","328","p32"
"bar_chart-identify_range-food_and_agriculture","[217, 917]","[217, 917]","p32"
"bar_chart-locate_value-weather_and_climate","City3 and City15","City3 and City15","p32"
