"trialId","answer","correctAnswer","pid"
"q0","$50.24","$50.24","p66"
"q1","December","December","p66"
"q2","$37.04 - $60.95","$37.04 - $60.95","p66"
"q3","Falling","Falling","p66"
"q4","$15","$15","p66"
"q5","15 Mbps","15 Mbps","p66"
"q6","South Korea","South Korea","p66"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p66"
"q8","7 Countries","7 Countries","p66"
"q9","$12","$12","p66"
"q10","4 to 10","4 to 10","p66"
"q11","Washington D.C.","Washington D.C.","p66"
"q12","True","True","p66"
"q13","False","False","p66"
"q14","38%","38%","p66"
"q15","College Graduate","College Graduate","p66"
"q16","False","False","p66"
"q17","25%","25%","p66"
"q18","Lenovo","Lenovo","p66"
"q19","True","True","p66"
"q20","153","153","p66"
"q21","4.4-4.6","4.4-4.6","p66"
"q22","True","True","p66"
"q23","70.5kg","70.5kg","p66"
"q24","197.1cm","197.1cm","p66"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p66"
"q26","175.3cm","175.3cm","p66"
"q27","True","True","p66"
"q28","False","False","p66"
"q29","False","False","p66"
"q30","$5.1","$5.1","p66"
"q31","June 2014","December 2014","p66"
"q32","$4.6 - $6.0","$4.6 - $6.0","p66"
"q33","Falling","Falling","p66"
"q34","8000","4200","p66"
"q35","1 to 1","1 to 1","p66"
"q36","2012","2012","p66"
"q37","Rising","Rising","p66"
"q38","False","False","p66"
"q39","False","False","p66"
"q40","530km","530km","p66"
"q41","New York City","New York City","p66"
"q42","180 - 560 km","180 - 560 km","p66"
"q43","New York City","New York City","p66"
"q44","False","False","p66"
"q45","False","False","p66"
"q46","False","False","p66"
"q47","2.3 - 3.4%","3.4 - 4.6%","p66"
"q48","New Mexico (NM)","New Mexico (NM)","p66"
"q49","True","True","p66"
"q50","Google","Google","p66"
"q51","False","False","p66"
"q52","False","False","p66"
"q0","$50.24","$50.24","p37"
"q1","December","December","p37"
"q2","$37.04 - $48.36","$37.04 - $60.95","p37"
"q3","Falling","Falling","p37"
"q4","$15","$15","p37"
"q5","15 Mbps","15 Mbps","p37"
"q6","South Korea","South Korea","p37"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p37"
"q8"," 6 Countries","7 Countries","p37"
"q9","$35.4","$12","p37"
"q10","2 to 10","4 to 10","p37"
"q11","Las Vegas","Washington D.C.","p37"
"q12","False","True","p37"
"q13","False","False","p37"
"q14","47%","38%","p37"
"q15","College Graduate","College Graduate","p37"
"q16","False","False","p37"
"q17","25%","25%","p37"
"q18","Lenovo","Lenovo","p37"
"q19","True","True","p37"
"q20","153","153","p37"
"q21","4.4-4.6","4.4-4.6","p37"
